"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1043","Broncos, Dolphins Try To Snap Season-Spoiling Losing Streaks https://t.co/PHOIRREjQZ https://t.co/Xnr3Y4M1xn",FALSE,0,NA,2017-11-30 22:46:08,FALSE,NA,"936365757813874688",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","cbseric",0,FALSE,FALSE,NA,NA
"1044","Broncos, Dolphins Try To Snap Season-Spoiling Losing Streaks https://t.co/jU8TKW3w1W https://t.co/MqT2L7phI1",FALSE,0,NA,2017-11-30 22:46:06,FALSE,NA,"936365752877072384",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SteveCoxDenver",0,FALSE,FALSE,NA,NA
"1045","Broncos, Dolphins Try To Snap Season-Spoiling Losing Streaks https://t.co/pVloB0gBRI https://t.co/MG3swxLIVG",FALSE,0,NA,2017-11-30 22:46:05,FALSE,NA,"936365748099805189",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","BenCBS4",0,FALSE,FALSE,NA,NA
"1046","RT @BitchestheCat: New study finds CBS Denver should shut their blasphemous mouths. https://t.co/oSdPmid0mv",FALSE,0,NA,2017-11-30 22:46:05,FALSE,NA,"936365746422128640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nitehawksm",194,TRUE,FALSE,NA,NA
"1047","RT @BitchestheCat: New study finds CBS Denver should shut their blasphemous mouths. https://t.co/oSdPmid0mv",FALSE,0,NA,2017-11-30 22:46:04,FALSE,NA,"936365741405716480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","friendlystinger",194,TRUE,FALSE,NA,NA
"1048","RT @KGNU: Ink coffee shop in Five Points in Denver has been under fire for the past week after it posted a sign outside... https://t.co/QCz…",FALSE,0,NA,2017-11-30 22:46:04,FALSE,NA,"936365740566949888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Buenisi_Ma",3,TRUE,FALSE,NA,NA
"1049","RT @mmpadellan: Proving how utterly petty, thin-skinned, and small the trump White House is, they've decided NOT to invite tough reporter @…",FALSE,0,NA,2017-11-30 22:46:03,FALSE,NA,"936365737425362944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",5194,TRUE,FALSE,NA,NA
"1050","Direct Wire &amp; Cable, Inc. Poised for Growth in Denver #Pennsylvania https://t.co/KpFnP0a9qv @PADCEDnews… https://t.co/x34hLRUt3o",FALSE,0,NA,2017-11-30 22:46:02,TRUE,NA,"936365734082613250",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TIDRoundup",0,FALSE,FALSE,NA,NA
"1051","RT @EdKrassen: Dear Senator John McCain, please look at the facts on what Trump's #TaxReform Bill will encompass.  Please read the CBO repo…",FALSE,0,NA,2017-11-30 22:45:45,FALSE,NA,"936365661147750400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",1690,TRUE,FALSE,NA,NA
"1052","In-N-Out is coming to Colorado Springs. Wake me up when Shake Shack comes to Denver.",FALSE,2,NA,2017-11-30 22:45:44,FALSE,NA,"936365657687330816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurabeth1922",0,FALSE,FALSE,NA,NA
"1053","Live stream Denver Nuggets vs. Chicago Bulls https://t.co/lMETYVfBEB",FALSE,0,NA,2017-11-30 22:45:38,FALSE,NA,"936365631611469824",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","livesport24h",0,FALSE,FALSE,NA,NA
"1054","RT @josierourke: Contain yourselves, I made the news in Denver (courtesy of @AnicaPadilla):
https://t.co/gjDcQGXALL",FALSE,0,NA,2017-11-30 22:45:35,FALSE,NA,"936365622312820737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DeMarkayRadio",4,TRUE,FALSE,NA,NA
